Run ID,Ticker,Run,MSE,RMSE,MAE,MAPE,DirAcc (%)
Run2_AAPL_LSTM_ver04.2,AAPL,1,3.983228773730284,1.995802789288131,1.5323419440144355,1.4375959754153942,48.554913294797686
Run2_AAPL_LSTM_ver04.2,AAPL,2,4.753221389374884,2.180188383918895,1.722052691726504,1.593689302282588,48.554913294797686
Run2_AAPL_LSTM_ver04.2,AAPL,3,3.998706250165907,1.999676536384299,1.5292303164492624,1.4319444166824726,47.687861271676304
Run2_ADBE_LSTM_ver04.2,ADBE,1,143.13052755313862,11.963717129435091,11.319111003019142,11.810418170990959,44.797687861271676
Run2_ADBE_LSTM_ver04.2,ADBE,2,87.97212134358526,9.379345464561228,8.925821664414926,9.367131518772458,45.08670520231214
Run2_ADBE_LSTM_ver04.2,ADBE,3,119.5102070113821,10.932072402403037,10.335995346527024,10.70915289861255,46.24277456647399
Run2_ADI_LSTM_ver04.2,ADI,1,1.4757779676730465,1.214816022150287,0.8900715605784767,1.5119680221809484,49.421965317919074
Run2_ADI_LSTM_ver04.2,ADI,2,1.6796129352340012,1.2959988176051709,0.9660923756727867,1.6558133609754504,49.421965317919074
Run2_ADI_LSTM_ver04.2,ADI,3,1.535433079228905,1.2391259335632134,0.9140970164184813,1.5596885460494745,49.421965317919074
Run2_ADS_LSTM_ver04.2,ADS,1,54.59403601668543,7.388777707894955,5.290691502383377,2.290487383996397,44.797687861271676
Run2_ADS_LSTM_ver04.2,ADS,2,43.777631386983266,6.616466684491297,4.5417918601833325,2.0105347568205776,44.50867052023121
Run2_ADS_LSTM_ver04.2,ADS,3,45.76630050561102,6.765079489969872,4.770830881567883,2.1008420860380754,43.35260115606936
Run2_ADSK_LSTM_ver04.2,ADSK,1,4.093736960353671,2.0232985346591024,1.4505601243545914,2.3387991418309495,47.10982658959538
Run2_ADSK_LSTM_ver04.2,ADSK,2,3.465972178735596,1.8617121632345843,1.3370862178179634,2.1896413767562772,47.398843930635834
Run2_ADSK_LSTM_ver04.2,ADSK,3,5.6260938625480605,2.3719388403894524,1.7322518645017,2.764936959837615,47.97687861271676
Run2_AKAM_LSTM_ver04.2,AKAM,1,3.117451553703041,1.765630639092741,1.2234010893341731,2.110228835908842,49.13294797687861
Run2_AKAM_LSTM_ver04.2,AKAM,2,3.3808202375918204,1.8387006927697125,1.285426303885713,2.1999065631788794,49.71098265895954
Run2_AKAM_LSTM_ver04.2,AKAM,3,3.3338540038895523,1.8258844442870836,1.2607991438893982,2.1706986185283323,50.28901734104046
Run2_AMAT_LSTM_ver04.2,AMAT,1,0.500005841592492,0.7071109118041469,0.5820428335851853,2.7023096912623457,55.49132947976878
Run2_AMAT_LSTM_ver04.2,AMAT,2,0.740304252326462,0.8604093516033295,0.6939314679149591,3.04753803119686,54.33526011560693
Run2_AMAT_LSTM_ver04.2,AMAT,3,0.6144300661749748,0.7838558963068242,0.6445629946575129,2.928767560808995,56.64739884393064
Run2_APH_LSTM_ver04.2,APH,1,3.7443323634313708,1.9350277422898543,1.6559520524179452,2.7845317432308687,49.421965317919074
Run2_APH_LSTM_ver04.2,APH,2,4.573527510446845,2.1385807233880243,1.7969730824829744,2.9978839393842835,50.28901734104046
Run2_APH_LSTM_ver04.2,APH,3,5.911931170304841,2.4314463124455044,2.1190479083492653,3.5604799122719513,48.554913294797686
Run2_ATVI_LSTM_ver04.2,ATVI,1,1.10557974654985,1.051465523234048,0.8581087973550514,2.284994706431047,47.687861271676304
Run2_ATVI_LSTM_ver04.2,ATVI,2,2.1900841842726746,1.4798933016513975,1.2488427690179864,3.275176830148685,47.398843930635834
Run2_ATVI_LSTM_ver04.2,ATVI,3,5.745533631237149,2.3969842784710016,2.1329876363979285,5.581267526935651,49.13294797687861
Run2_AVGO_LSTM_ver04.2,AVGO,1,376.394661678285,19.400893321656223,17.768262088227296,11.434368349522122,47.97687861271676
Run2_AVGO_LSTM_ver04.2,AVGO,2,131.48760069280837,11.466804292949643,10.11884090335663,6.469064531359976,49.71098265895954
Run2_AVGO_LSTM_ver04.2,AVGO,3,212.61844741601757,14.581441883984505,13.183469469490383,8.47271311343932,49.13294797687861
Run2_CRM_LSTM_ver04.2,CRM,1,99.66726893786041,9.983349585077166,9.677450458820596,12.803696646286305,46.82080924855491
Run2_CRM_LSTM_ver04.2,CRM,2,52.8136192624665,7.267297934065074,6.794955545438017,8.917404093043144,45.95375722543353
Run2_CRM_LSTM_ver04.2,CRM,3,46.632901199072776,6.828828684267367,6.35600992101618,8.33683141761454,47.687861271676304
