Run ID,Ticker,Run,MSE,RMSE,MAE,MAPE,DirAcc (%)
Batch1_AAPL_LSTM_ver04.1,AAPL,1,3.983228773730284,1.995802789288131,1.5323419440144355,1.4375959754153942,48.554913294797686
Batch1_AAPL_LSTM_ver04.1,AAPL,2,4.753221389374884,2.180188383918895,1.722052691726504,1.593689302282588,48.554913294797686
Batch1_AAPL_LSTM_ver04.1,AAPL,3,3.998706250165907,1.999676536384299,1.5292303164492624,1.4319444166824726,47.687861271676304
Batch1_ADBE_LSTM_ver04.1,ADBE,1,143.13052755313862,11.963717129435091,11.319111003019142,11.810418170990959,44.797687861271676
Batch1_ADBE_LSTM_ver04.1,ADBE,2,87.97212134358526,9.379345464561228,8.925821664414926,9.367131518772458,45.08670520231214
Batch1_ADBE_LSTM_ver04.1,ADBE,3,119.5102070113821,10.932072402403037,10.335995346527024,10.70915289861255,46.24277456647399
Batch1_ADI_LSTM_ver04.1,ADI,1,1.4757779676730465,1.214816022150287,0.8900715605784767,1.5119680221809484,49.421965317919074
Batch1_ADI_LSTM_ver04.1,ADI,2,1.6796129352340012,1.2959988176051709,0.9660923756727867,1.6558133609754504,49.421965317919074
Batch1_ADI_LSTM_ver04.1,ADI,3,1.535433079228905,1.2391259335632134,0.9140970164184813,1.5596885460494745,49.421965317919074
Batch1_ADS_LSTM_ver04.1,ADS,1,54.59403601668543,7.388777707894955,5.290691502383377,2.290487383996397,44.797687861271676
Batch1_ADS_LSTM_ver04.1,ADS,2,43.777631386983266,6.616466684491297,4.5417918601833325,2.0105347568205776,44.50867052023121
Batch1_ADS_LSTM_ver04.1,ADS,3,45.76630050561102,6.765079489969872,4.770830881567883,2.1008420860380754,43.35260115606936
Batch1_ADSK_LSTM_ver04.1,ADSK,1,4.093736960353671,2.0232985346591024,1.4505601243545914,2.3387991418309495,47.10982658959538
Batch1_ADSK_LSTM_ver04.1,ADSK,2,3.465972178735596,1.8617121632345843,1.3370862178179634,2.1896413767562772,47.398843930635834
Batch1_ADSK_LSTM_ver04.1,ADSK,3,5.6260938625480605,2.3719388403894524,1.7322518645017,2.764936959837615,47.97687861271676
Batch1_AKAM_LSTM_ver04.1,AKAM,1,3.117451553703041,1.765630639092741,1.2234010893341731,2.110228835908842,49.13294797687861
Batch1_AKAM_LSTM_ver04.1,AKAM,2,3.3808202375918204,1.8387006927697125,1.285426303885713,2.1999065631788794,49.71098265895954
Batch1_AKAM_LSTM_ver04.1,AKAM,3,3.3338540038895523,1.8258844442870836,1.2607991438893982,2.1706986185283323,50.28901734104046
Batch1_AMAT_LSTM_ver04.1,AMAT,1,0.500005841592492,0.7071109118041469,0.5820428335851853,2.7023096912623457,55.49132947976878
Batch1_AMAT_LSTM_ver04.1,AMAT,2,0.740304252326462,0.8604093516033295,0.6939314679149591,3.04753803119686,54.33526011560693
Batch1_AMAT_LSTM_ver04.1,AMAT,3,0.6144300661749748,0.7838558963068242,0.6445629946575129,2.928767560808995,56.64739884393064
Batch1_APH_LSTM_ver04.1,APH,1,3.7443323634313708,1.9350277422898543,1.6559520524179452,2.7845317432308687,49.421965317919074
Batch1_APH_LSTM_ver04.1,APH,2,4.573527510446845,2.1385807233880243,1.7969730824829744,2.9978839393842835,50.28901734104046
Batch1_APH_LSTM_ver04.1,APH,3,5.911931170304841,2.4314463124455044,2.1190479083492653,3.5604799122719513,48.554913294797686
